name,category,lat,lng,...,size,...,payment type,milk type,latte price,...,min card spend y/n,min card spend figure,...,bus,coach,tube,rail,...,notes,
Kings Cross St Pancras (Stop D),public transport ,"51.530557623879965,",-0.123240113,...,bus stop,...,na,na,na,...,na,na,...,3,0,0,0,...,na,
Kings Cross St Pancras (Stop E),public transport ,51.53065415,-0.122949813,...,bus stop,...,na,na,na,...,na,na,...,6,0,0,0,...,na,
Kings Cross / York Way (Stop G),public transport ,51.53150105,-0.122616561,...,bus stop,...,na,na,na,...,na,na,...,5,0,0,0,...,na,
Wharfdale Road / London Canal Museum,public transport ,51.53369965,-0.121394103,...,bus stop,...,na,na,na,...,na,na,...,6,0,0,0,...,na,
Kings Cross / Pentonville Road (Stop H),public transport ,51.53163215,-0.120738331,...,bus stop,...,na,na,na,...,na,na,...,6,0,0,0,...,na,
Kings Cross / Caledonian Road (Stop X),public transport ,51.53109967,-0.120546478,...,bus stop,...,na,na,na,...,na,na,...,7,0,0,0,...,na,
Kings Cross Station (Stop R),public transport ,"51.53065899041018,",-0.121712357,...,bus stop,...,na,na,na,...,na,na,...,8,0,0,0,...,na,
Killick Street (Stop S),public transport ,51.53394369,-0.118193588,...,bus stop,...,na,na,na,...,na,na,...,4,0,0,0,...,na,
Killick Street (Stop K),public transport ,51.53421473,-0.118115157,...,bus stop,...,na,na,na,...,na,na,...,4,0,0,0,...,na,
Goods Way (Stop D),public transport ,51.53457849,-0.122435915,...,bus stop,...,na,na,na,...,na,na,...,1,0,0,0,...,na,
York Way / Kings Place (Stop C),public transport ,51.5360718,-0.122175415,...,bus stop,...,na,na,na,...,na,na,...,1,0,0,0,...,na,
Copenhagen Street / York way (Stop E),public transport ,51.53617281,-0.122409971,...,bus stop,...,na,na,na,...,na,na,...,1,0,0,0,...,na,
Randells Road (Stop B),public transport ,51.53813476,-0.122566881,...,bus stop,...,na,na,na,...,na,na,...,1,0,0,0,...,na,
Randells Road (Stop F),public transport ,"51.539382642013635,",-0.124444427,...,bus stop,...,na,na,na,...,na,na,...,1,0,0,0,...,na,
St Pancras International,public transport ,51.53063466310992,-0.1255576357496757,...,rail station,...,na,na,na,...,na,na,...,0,0,0,5,...,"4 national, 1 international",
Kings Cross,public transport , 51.5324461548783865, -0.12327768167422093,,rail station,...,na,na,na,...,na,na,...,0,0,0,6,...,na,
Kings Cross St Pancras,public transport ,51.53100745187257,-0.12336663265458236,tube station,...,na,na,na,...,na,na,...,0,0,7,0,...,na,
York Road ,public transport ,51.53856291,-0.122569251,,tube station,...,na,na,na,...,na,na,...,na,na,na,na,...,closed,
,,,,,,,,,,,,,,,,,,,,
